Nvel 5,vegetation_type ,pavement_type,building_type,water_type ,soil_type (so veg. e pav.)
11111,,,3,,
11121,,,3,,
11131,,,6,,
11211,,,5,,
11221,,,5,,
12111,,,5,,
12121,,,5,,
12131,,,5,,
12141,,,6,,
12151,,,6,,
12152,,,5,,
12161,,,4,,
12171,,,5,,
12211,,2,,,2
12221,,9,,,2
12311,,,5,,
12321,,,5,,
12331,,,5,,
12411,,,5,,
12421,,,5,,
13111,,9,,,2
13121,,9,,,2
13211,,9,,,2
13221,,1,,,2
13311,,3,,,2
13321,,1,,,2
14111,,10,,,6
14121,,10,,,6
14211,3,,,,6
14212,,1,,,3
14221,,10,,,3
14222,,1,,,3
14231,,,6,,
21111,2,,,,6
21121,2,,,,6
21131,2,,,,6
21141,2,,,,6
21211,11,,,,6
21311,11,,,,6
22111,2,,,,6
22121,2,,,,6
22131,2,,,,6
22211,2,,,,6
22212,2,,,,6
22213,2,,,,6
22214,2,,,,6
22215,2,,,,6
22216,2,,,,6
22217,2,,,,6
22218,2,,,,6
22221,2,,,,6
22222,2,,,,6
22223,2,,,,6
22224,2,,,,6
22225,2,,,,6
22226,2,,,,6
22231,2,,,,6
22232,2,,,,6
22233,2,,,,6
22234,2,,,,6
22235,2,,,,6
22236,2,,,,6
22311,2,,,,6
22321,2,,,,6
22331,2,,,,6
23111,2,,,,6
24111,2,,,,6
24112,2,,,,6
24113,2,,,,6
24121,2,,,,6
24122,2,,,,6
24123,2,,,,6
24131,2,,,,6
24132,2,,,,6
24133,2,,,,6
24211,2,,,,6
24311,2,,,,6
24411,2,,,,6
24412,2,,,,6
24413,2,,,,6
24414,2,,,,6
24415,2,,,,6
24416,2,,,,6
24421,2,,,,6
24422,11,,,,6
24423,11,,,,6
24424,11,,,,6
24425,11,,,,6
24426,11,,,,6
24431,2,,,,6
24432,2,,,,6
24433,2,,,,6
24434,2,,,,6
24435,2,,,,6
24436,2,,,,6
24441,2,,,,6
24442,2,,,,6
24443,2,,,,6
24444,2,,,,6
24445,2,,,,6
24446,2,,,,6
31111,6,,,,6
31112,6,,,,6
31113,6,,,,6
31114,6,,,,6
31115,6,,,,6
31116,17,,,,6
31117,6,,,,6
31121,6,,,,6
31122,6,,,,6
31123,6,,,,6
31124,6,,,,6
31125,6,,,,6
31126,17,,,,6
31127,6,,,,6
31128,6,,,,6
31211,4,,,,6
31212,4,,,,6
31213,6,,,,6
31221,4,,,,6
31222,4,,,,6
31223,6,,,,6
31311,6,,,,6
31312,6,,,,6
31313,6,,,,6
31314,6,,,,6
31315,6,,,,6
31316,17,,,,6
31317,6,,,,6
31318,6,,,,6
31321,4,,,,6
31322,4,,,,6
31323,6,,,,6
31324,17,,,,6
32111,3,,,,6
32211,15,,,,6
322111,15,,,,6
322112,15,,,,6
32221,15,,,,6
322212,15,,,,6
322211,15,,,,6
32311,17,,,,6
32321,17,,,,6
32411,6,,,,6
32412,6,,,,6
32413,6,,,,6
32414,6,,,,6
32415,6,,,,6
32416,6,,,,6
32417,6,,,,6
32421,6,,,,6
32422,6,,,,6
32423,6,,,,6
32424,6,,,,6
32425,6,,,,6
32426,17,,,,6
32427,6,,,,6
32431,4,,,,6
32432,4,,,,6
32433,6,,,,6
32441,4,,,,6
32442,4,,,,6
32443,6,,,,6
32451,6,,,,6
32452,6,,,,6
32453,6,,,,6
32454,6,,,,6
32455,6,,,,6
32456,17,,,,6
32457,6,,,,6
32458,17,,,,6
32461,4,,,,6
32462,4,,,,6
32463,6,,,,6
32464,17,,,,6
32471,17,,,,6
32481,3,,,,6
32482,2,,,,6
32491,2,,,,6
32411,1,,,,6
33111,12,,,,4
33121,12,,,,4
33211,1,,,,
33311,12,,,,6
33411,18,,,,6
41111,14,,,,6
41211,14,,,,6
42111,14,,,,6
42211,,,,4,
42221,,,,3,
42311,,,,3,
51111,,,,2,
51121,,,,2,
51211,,,,1,
51212,,,,1,
51221,,,,1,
51231,,,,1,
51232,,,,4,
51233,,,,4,
52111,,,,4,
52211,,,,3,
52311,,,,3,
